,2026-03-31,2025-03-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-234145646.596394,426808141.108218,-61586797.482778,-604483265.787521
Tax Rate For Calcs,,0.256835,0.265804,0.258602
Normalized EBITDA,54623500000.0,48041100000.0,38367200000.0,36837700000.0
Total Unusual Items,-1003400000.0,1661800000.0,-231700000.0,-2337500000.0
Total Unusual Items Excluding Goodwill,-1003400000.0,1661800000.0,-231700000.0,-2337500000.0
Net Income From Continuing Operation Net Minority Interest,,32075900000.0,23905200000.0,21184100000.0
Reconciled Depreciation,6740500000.0,5181700000.0,4030100000.0,3901900000.0
Reconciled Cost Of Revenue,106019100000.0,89496600000.0,78989200000.0,64844100000.0
EBITDA,53620100000.0,49702900000.0,38135500000.0,34500200000.0
EBIT,46879600000.0,44521200000.0,34105400000.0,30590000000.0
Net Interest Income,770800000.0,-792700000.0,-535700000.0,-815300000.0
Interest Expense,1238300000.0,1360000000.0,1545700000.0,2016800000.0
Interest Income,2009100000.0,567300000.0,1010000000.0,1201500000.0
Normalized Income,35760054353.4036,30840908141.10822,24075313202.517223,22917116734.21248
Net Income From Continuing And Discontinued Operation,,32075900000.0,23905200000.0,21184100000.0
Total Expenses,184113100000.0,158097400000.0,134441900000.0,114920700000.0
Rent Expense Supplemental,192700000.0,245200000.0,,
Diluted Average Shares,,1928797354.0,1928616378.0,1928314320.0
Basic Average Shares,,1928797354.0,1928616378.0,1928314320.0
Diluted EPS,,16.63,12.395,10.986
Basic EPS,,16.63,12.395,10.986
Diluted NI Availto Com Stockholders,,32075900000.0,23905200000.0,21184100000.0
Net Income Common Stockholders,,32075900000.0,23905200000.0,21184100000.0
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0
Net Income,,32075900000.0,23905200000.0,21184100000.0
Net Income Including Noncontrolling Interests,,32075900000.0,23905200000.0,21184100000.0
Net Income Continuous Operations,,32075900000.0,23905200000.0,21184100000.0
Tax Provision,,11085300000.0,8654500000.0,7389100000.0
Pretax Income,,43161200000.0,32559700000.0,28573200000.0
Other Non Operating Income Expenses,,629900000.0,1010000000.0,-534000000.0
Special Income Charges,-1027300000.0,1640500000.0,-231700000.0,-2337500000.0
Other Special Charges,374500000.0,-1858000000.0,-62600000.0,2325300000.0
Impairment Of Capital Assets,251800000.0,217500000.0,294300000.0,12200000.0
Restructuring And Mergern Acquisition,401000000.0,,,
Net Non Operating Interest Income Expense,770800000.0,-792700000.0,-535700000.0,-815300000.0
Interest Expense Non Operating,1238300000.0,1360000000.0,1545700000.0,2016800000.0
Interest Income Non Operating,2009100000.0,567300000.0,1010000000.0,1201500000.0
Operating Income,46601500000.0,42677600000.0,33453400000.0,31728300000.0
Operating Expense,78094000000.0,68600800000.0,55452700000.0,50076600000.0
Other Operating Expenses,27202200000.0,24594600000.0,20497200000.0,16191800000.0
Depreciation And Amortization In Income Statement,6740500000.0,5181700000.0,4030100000.0,3910200000.0
Depreciation Income Statement,6740500000.0,5181700000.0,4030100000.0,3910200000.0
Research And Development,1121600000.0,997200000.0,657600000.0,638200000.0
Selling General And Administration,22065700000.0,18674300000.0,14987500000.0,14793900000.0
Selling And Marketing Expense,21860200000.0,18429200000.0,14877300000.0,14699700000.0
General And Administrative Expense,205500000.0,245100000.0,110200000.0,94200000.0
Rent And Landing Fees,192700000.0,245200000.0,,
Gross Profit,124695500000.0,111278400000.0,88906100000.0,81804900000.0
Cost Of Revenue,106019100000.0,89496600000.0,78989200000.0,64844100000.0
Total Revenue,,200775000000.0,167895300000.0,146649000000.0
Operating Revenue,,200775000000.0,167895300000.0,146649000000.0
